job_title,company_name,location,job_description,posted_date,apply_link,city,region,job_category,experience_level,work_mode,salary_min,salary_max,salary_category,title_word_count,description_length,description_word_count,python_required,tech_keyword_count,job_category_label,experience_Entry Level,experience_Mid Level,experience_Mid/Senior,experience_Senior,work_Hybrid,work_On-site,work_Remote
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA","Professional asset web application environmentally friendly detail-oriented asset. Coordinate educational dashboard agile employ growth opportunity. Company programs CSS explore role. Html educational grit web application. Oversea SCRUM talented support. Web Application fast-growing communities inclusive programs job CSS. Css discussions growth opportunity explore open-minded oversee. Css Python environmentally friendly collaborate inclusive role. Django no experience oversee dashboard environmentally friendly willing to learn programs. Programs open-minded programs asset. Location: Stewartbury, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/senior-python-developer-0.html,Stewartbury,AA,Technology,Senior,On-site,65000,80000,Medium,3,624,71,1,12,6,0,0,0,1,0,1,0
Energy engineer,Vasquez-Davidson,"Christopherville, AA","Party prevent live. Quickly candidate change although. Together type music hospital. Every speech support time operation wear often. Location: Christopherville, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/energy-engineer-1.html,Christopherville,AA,Technology,Mid Level,Hybrid,67500,82500,Medium,2,182,23,0,0,6,0,1,0,0,1,0,0
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA","Administration even relate head color. Staff beyond chair recently and off. Own available buy country store build before. Already against which continue. Look road article quickly. International big employee determine positive go Congress. Level others record hospital employee toward like. Location: Port Ericaburgh, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/legal-executive-2.html,Port Ericaburgh,AA,Legal,Mid Level,Remote,67000,82000,Medium,2,339,46,0,0,4,0,1,0,0,0,0,1
Fitness centre manager,Savage-Bradley,"East Seanview, AP","Tv program actually race tonight themselves true power. Study economy night actually score from. Name care several. Good explain grow water plant perform resource. Security stock ball organization recognize civil. Pm her then nothing increase. Location: East Seanview, AP Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/fitness-centre-manager-3.html,East Seanview,AP,Other,Mid/Senior,On-site,57500,72500,Medium,3,290,41,0,0,5,0,0,1,0,0,1,0
Product manager,Ramirez Inc,"North Jamieview, AP","Traditional page a although for study anyone. Could yourself plan base rise would. Wear individual about add senior woman. Partner couple part cup few read consider. Take however ball ever laugh society technology. President stage population boy. Location: North Jamieview, AP Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/product-manager-4.html,North Jamieview,AP,Other,Mid/Senior,Hybrid,60000,75000,Medium,2,295,43,0,0,5,0,0,1,0,1,0,0
Medical technical officer,Rogers-Yates,"Davidville, AP","Suffer which parent. Republican total policy head Mrs debate onto. Catch even front. Responsibility full per among clearly word. Guess writer can boy room. Film tax rock. Idea foreign increase between training. Location: Davidville, AP Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/medical-technical-officer-5.html,Davidville,AP,Technology,Mid/Senior,Remote,77500,92500,High,3,254,37,0,0,6,0,0,1,0,0,0,1
Physiological scientist,Kramer-Klein,"South Christopher, AE","Friend reach choose coach north. Assume be seek article. Better news face. Location: South Christopher, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/physiological-scientist-6.html,South Christopher,AE,Healthcare,Mid Level,On-site,75000,90000,High,2,125,18,0,0,3,0,1,0,0,0,1,0
Textile designer,Meyers-Johnson,"Port Jonathan, AE","Court boy state table agree moment. Budget huge debate among way. Perhaps bit learn gun still. Writer work chance image. There many true follow marriage material. Myself use act relationship section. Location: Port Jonathan, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/textile-designer-7.html,Port Jonathan,AE,Creative & Media,Mid Level,Hybrid,69500,84500,Medium,2,246,37,0,0,0,0,1,0,0,1,0,0
Television floor manager,Hughes-Williams,"Osbornetown, AE","At be than always different American address. Former claim chance prevent why measure too. Almost before some military outside baby interview. Face top individual win suddenly. Parent do ten after those scientist. Medical effort assume teacher wall. Significant his himself clearly very. Expert stop area along individual. Three own bank recognize special good along. Location: Osbornetown, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/television-floor-manager-8.html,Osbornetown,AE,Creative & Media,Mid/Senior,Remote,72000,87000,High,3,412,59,0,0,0,0,0,1,0,0,0,1
Waste management officer,"Jones, Williams and Villa","Scotttown, AP","Food record power crime situation since book art. Pass value practice wide require fast support. Son true their race special million. Although hot he couple ground. Location: Scotttown, AP Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/waste-management-officer-9.html,Scotttown,AP,Other,Mid/Senior,On-site,50000,65000,Low,3,207,31,0,0,5,0,0,1,0,0,1,0
Software Engineer (Python),Garcia PLC,"Ericberg, AE","Collaborate discussions responsible tech growth opportunity dashboard. Distributed SCRUM willing to learn Flask build environmentally friendly environmentally friendly. Python distributed developer teamwork inclusive Flask. Professional environmentally friendly asset CSS no experience no experience. Grit oversea Java detail-oriented collaborate relocation. Responsible Tech support support motivated teamwork willing to learn job relocation. Environmentally Friendly collaborate role. Willing To Learn oversea asset role asset relocation web application. Agile responsible tech build oversee coordinate. Location: Ericberg, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-engineer-python-10.html,Ericberg,AE,Technology,Mid Level,Hybrid,67500,82500,Medium,3,647,75,1,7,6,0,1,0,0,1,0,0
Interpreter,Gregory and Sons,"Ramireztown, AE","Door contain head production technology. After back available inside nearly scientist central instead. Be know hard we around impact. While top kid he weight before. Someone everybody newspaper read. Up control instead company where future model. Leg PM low data ability recognize. Left despite boy without feeling participant interest seem. Location: Ramireztown, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/interpreter-11.html,Ramireztown,AE,Other,Mid Level,Remote,55000,70000,Medium,1,386,55,0,0,5,0,1,0,0,0,0,1
Architect,"Clark, Garcia and Sosa","Figueroaview, AA","Huge three report know second. Exist sense training other along society. Move brother teacher three seven. Increase face mind off. Location: Figueroaview, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/architect-12.html,Figueroaview,AA,Other,Mid Level,On-site,57500,72500,Medium,1,176,25,0,0,5,0,1,0,0,0,1,0
Meteorologist,Bush PLC,"Kelseystad, AA","Case but building husband life nice federal place. Design major maybe manage when know. Seat appear perform agent. Hospital year suffer without rather bank we. According American per yourself their record. Cell of course its respond. Collection instead today itself language remember. Firm decade cost glass work interview man. Somebody keep daughter report town. Doctor be cost. Sea quality do father. Location: Kelseystad, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/meteorologist-13.html,Kelseystad,AA,Other,Mid Level,Hybrid,60000,75000,Medium,1,446,66,0,0,5,0,1,0,0,1,0,0
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE","Program possible natural same issue lawyer effort. Democratic entire analysis clear about pressure cell. Quite wife however TV law fund. Paper beat five movie. Eight miss couple bag thank generation. Economy rock feeling might his. Gas Republican and various authority leave right. True include management. Brother bank better she increase try. Location: Williamsburgh, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/audiological-scientist-14.html,Williamsburgh,AE,Healthcare,Mid Level,Remote,72500,87500,High,2,391,56,0,0,3,0,1,0,0,0,0,1
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE","Various floor itself news experience. Smile represent since method left plant evening. Budget situation between. Eat expect save process score middle. Business population brother. Grow push region produce develop story drive. Location: Mitchellburgh, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/english-as-a-second-language-teacher-15.html,Mitchellburgh,AE,Education,Mid Level,On-site,63000,78000,Medium,6,272,36,0,0,1,0,1,0,0,0,1,0
Surgeon,Cruz-Brown,"West Jessicabury, AA","Happen play speech theory choice computer. Career deal trip market. Dog car do his part. Pick too blue street. Other majority final when new clear these. National region bad case I course first. Location: West Jessicabury, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/surgeon-16.html,West Jessicabury,AA,Healthcare,Mid Level,Hybrid,77500,92500,High,1,244,39,0,0,3,0,1,0,0,1,0,0
Equities trader,Macdonald-Ferguson,"Maloneshire, AE","Public figure ground much run character. Make article drop. Difficult president at. General professional career two. Itself group computer forget would section him. Location: Maloneshire, AE Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/equities-trader-17.html,Maloneshire,AE,Finance,Mid Level,Remote,90000,105000,High,2,209,28,0,0,2,0,1,0,0,0,0,1
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA","May perform product. Bag down stock computer. What to sea. Collection bad until our per leader change. Location: Johnsonton, AA Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/newspaper-journalist-18.html,Johnsonton,AA,Creative & Media,Mid Level,On-site,52000,67000,Medium,2,146,22,0,0,0,0,1,0,0,0,1,0
Materials engineer,Smith and Sons,"South Davidtown, AP","Leader medical class send. Establish manage hotel financial too nearly. Significant now energy. Lay return identify. Anything event yet effect quite reflect upon. Several might history strong economy. Not forget why under. Purpose mouth then class test check suffer star. Staff north weight guy personal follow situation over. Location: South Davidtown, AP Posted: 2021-04-08",2021-04-08,https://realpython.github.io/fake-jobs/jobs/materials-engineer-19.html,South Davidtown,AP,Technology,Mid Level,Hybrid,67500,82500,Medium,2,375,54,0,0,6,0,1,0,0,1,0,0
